Key,en,hi,ar,es
Basic setting not found! Please run database seeder,Basic setting not found! Please run database seeder,मूल सेटिंग नहीं मिली! कृपया डेटाबेस सीडर चलाएँ,لم يتم العثور على الإعداد الأساسي! الرجاء تشغيل بذارة قاعدة البيانات,¡Configuración básica no encontrada! Por favor ejecute el sembrador de base de datos
No changes to update.,No changes to update.,अद्यतन करने के लिए कोई परिवर्तन नहीं.,لا توجد تغييرات للتحديث.,No hay cambios para actualizar.
Image assets updated successfully!.,Image assets updated successfully!.,छवि परिसंपत्तियाँ सफलतापूर्वक अपडेट की गईं!,تم تحديث أصول الصورة بنجاح!.,Recursos de imagen actualizados exitosamente.
Splash Screen fetched successfully!,Splash Screen fetched successfully!,स्पलैश स्क्रीन सफलतापूर्वक प्राप्त हुई!,تم جلب شاشة البداية بنجاح!,¡La pantalla de bienvenida se obtuvo correctamente!
You can resend verification code after,You can resend verification code after,आप इसके बाद सत्यापन कोड दोबारा भेज सकते हैं,يمكنك إعادة إرسال رمز التحقق بعد ذلك,Puedes reenviar el código de verificación después
User Registration is currently disabled from admin,User Registration is currently disabled from admin,उपयोगकर्ता पंजीकरण वर्तमान में व्यवस्थापक से अक्षम है,تسجيل المستخدم معطل حاليا من المشرف,El registro de usuario está actualmente deshabilitado desde el administrador.
User dashboard data fetched successfully!,User dashboard data fetched successfully!,उपयोगकर्ता डैशबोर्ड डेटा सफलतापूर्वक लाया गया!,تم جلب بيانات لوحة تحكم المستخدم بنجاح!,¡Los datos del panel de usuario se obtuvieron correctamente!
User Notification data fetched successfully!,User Notification data fetched successfully!,उपयोगकर्ता अधिसूचना डेटा सफलतापूर्वक लाया गया!,تم جلب بيانات إشعار المستخدم بنجاح!,¡Los datos de notificación del usuario se obtuvieron correctamente!
Message Send Successfully!,Message Send Successfully!,संदेश सफलतापूर्वक भेजा गया!,تم إرسال الرسالة بنجاح!,¡Mensaje enviado exitosamente!
Subscribed Successfully!,Subscribed Successfully!,सफलतापूर्वक सदस्यता ली!,تم الاشتراك بنجاح!,¡Suscrito exitosamente!
Oops! Language Not Found!,Oops! Language Not Found!,उफ़! भाषा नहीं मिली!,أُووبس! اللغة غير موجودة!,¡Ups! ¡Idioma no encontrado!
Language Switch to,Language Switch to,भाषा पर स्विच करें,تبديل اللغة إلى,Idioma Cambiar a
Verification code sended to your email address.,Verification code sended to your email address.,सत्यापन कोड आपके ईमेल पते पर भेजा गया।,تم إرسال رمز التحقق إلى عنوان بريدك الإلكتروني.,Código de verificación enviado a su dirección de correo electrónico.
Password Reset Token Expired,Password Reset Token Expired,पासवर्ड रीसेट टोकन समाप्त हो गया,انتهت صلاحية رمز إعادة تعيين كلمة المرور,El token de restablecimiento de contraseña expiró
Session expired. Please try again.,Session expired. Please try again.,सत्र समाप्त हुआ। कृपया पुन: प्रयास करें।,انتهت الجلسة. حاول مرة اخرى.,Sesión expirada. Inténtalo de nuevo.
Something went wrong. please try again,Something went wrong. please try again,कुछ गलत हो गया। कृपया पुन: प्रयास करें,هناك خطأ ما. حاول مرة اخرى,Algo salió mal. Inténtalo de nuevo
Verification code resend success!,Verification code resend success!,सत्यापन कोड पुनः भेजना सफल!,تمت إعادة إرسال رمز التحقق بنجاح!,¡El reenvío del código de verificación fue exitoso!
Password reset success. Please login with new password.,Password reset success. Please login with new password.,पासवर्ड रीसेट सफल. कृपया नए पासवर्ड से लॉगिन करें.,نجاح إعادة تعيين كلمة المرور. الرجاء تسجيل الدخول بكلمة المرور الجديدة.,Restablecimiento de contraseña exitoso. Por favor inicie sesión con una nueva contraseña.
Invalid otp code,Invalid otp code,अमान्य ओटीपी कोड,رمز OTP غير صالح,código otp no válido
Mail OTP Resend Success!,Mail OTP Resend Success!,मेल ओटीपी पुनः भेजें सफलता!,نجاح إعادة إرسال البريد OTP!,¡Reenvío de OTP por correo exitoso!
Profile successfully updated!,Profile successfully updated!,प्रोफ़ाइल सफलतापूर्वक अपडेट की गई!,تم تحديث الملف الشخصي بنجاح!,¡Perfil actualizado exitosamente!
Password successfully updated!,Password successfully updated!,पासवर्ड सफलतापूर्वक अपडेट किया गया!,تم تحديث كلمة المرور بنجاح!,¡Contraseña actualizada exitosamente!
Password Changed successfully login again!,Password Changed successfully login again!,पासवर्ड सफलतापूर्वक बदला गया फिर से लॉगिन करें!,تم تغيير كلمة المرور بنجاح قم بتسجيل الدخول مرة أخرى!,Contraseña cambiada exitosamente ¡Inicie sesión nuevamente!
New password & confirm password is not same!,New password & confirm password is not same!,नया पासवर्ड और कन्फर्म पासवर्ड एक ही नहीं है!,كلمة المرور الجديدة وتأكيد كلمة المرور ليسا نفس الشيء!,¡Nueva contraseña y confirmación de contraseña no son lo mismo!
Password not updated!,Password not updated!,पासवर्ड अपडेट नहीं हुआ!,لم يتم تحديث كلمة المرور!,¡Contraseña no actualizada!
Your account is not activated check mail inbox/spam.,Your account is not activated check mail inbox/spam.,"आपका खाता सक्रिय नहीं है, मेल इनबॉक्स/स्पैम जांचें।",لم يتم تنشيط حسابك، تحقق من البريد الوارد/البريد العشوائي.,Tu cuenta no está activada revisa tu bandeja de entrada/spam.
Email-Address And Password Are Wrong.,Email-Address And Password Are Wrong.,ईमेल-पता और पासवर्ड ग़लत हैं.,عنوان البريد الإلكتروني وكلمة المرور خاطئان.,La dirección de correo electrónico y la contraseña son incorrectas.
Message deleted successfully!,Message deleted successfully!,संदेश सफलतापूर्वक हटा दिया गया!,تم حذف الرسالة بنجاح!,¡Mensaje eliminado exitosamente!
Mail From Address,Mail From Address,मेल पते से,البريد من العنوان,Correo desde la dirección
TRUE,TRUE,सत्य,حقيقي,VERDADERO
Register,Register,पंजीकरण करवाना,يسجل,Registro
Not Found,Not Found,नहीं मिला,غير معثور عليه,Extraviado
Page Expired,Page Expired,पेज समाप्त हो गया,انتهت صلاحية الصفحة,Página caducada
Server Error,Server Error,सर्वर त्रुटि,خطأ في الخادم,Error del Servidor
Previous,Previous,पहले का,سابق,Anterior
Please confirm your password before continuing.,Please confirm your password before continuing.,कृपया जारी रखने से पहले अपने पासवर्ड की पुष्टि करें।,الرجاء تأكيد كلمة المرور الخاصة بك قبل المتابعة.,Confirme su contraseña antes de continuar.
Forgot Your Password?,Forgot Your Password?,अपना कूट शब्द भूल गए?,نسيت كلمة السر؟,¿Olvidaste tu contraseña?
Send Password Reset Link,Send Password Reset Link,पासवर्ड रीसेट लिंक भेजें,إرسال رابط إعادة تعيين كلمة السر,Enviar enlace para restablecer contraseña
Remember Me,Remember Me,मुझे याद करो,تذكرنى,Acuérdate de mí
Verify Your Email Address,Verify Your Email Address,अपने ईमेल पते की पुष्टि करें,تحقق من عنوان بريدك الإلكتروني,Verifique su dirección de correo electrónico
A fresh verification link has been sent to your email address.,A fresh verification link has been sent to your email address.,आपके ईमेल पते पर एक नया सत्यापन लिंक भेजा गया है।,تم إرسال رابط تحقق جديد إلى عنوان بريدك الإلكتروني.,Se ha enviado un nuevo enlace de verificación a su dirección de correo electrónico.
"Before proceeding, please check your email for a verification link.","Before proceeding, please check your email for a verification link.","आगे बढ़ने से पहले, कृपया सत्यापन लिंक के लिए अपना ईमेल जांचें।",قبل المتابعة، يرجى التحقق من بريدك الإلكتروني للحصول على رابط التحقق.,"Antes de continuar, consulte su correo electrónico para obtener un enlace de verificación."
If you did not receive the email,If you did not receive the email,यदि आपको ईमेल प्राप्त नहीं हुआ,إذا لم تتلق البريد الإلكتروني,Si no recibiste el correo electrónico
click here to request another,click here to request another,दूसरे का अनुरोध करने के लिए यहां क्लिक करें,انقر هنا لطلب آخر,haga clic aquí para solicitar otro
You are logged in!,You are logged in!,आप लोग्ड इन हो चुके हैं!,لقد سجلت الدخول!,¡Estás conectado!
There was an error on row :row. :message,There was an error on row :row. :message,पंक्ति में एक त्रुटि थी:पंक्ति. :संदेश,حدث خطأ في الصف :row. :رسالة,Hubo un error en la fila: fila. :mensaje
appLAppName,AdRadio,एडरेडियो,راديو إعلاني,AnuncioRadio
appLProgramSchedule,Program Schedule,कार्यक्रम सूची,جدول برنامج,Horario del programa
appLNotifications,Notifications,सूचनाएं,إشعارات,Notificaciones
appLLiveOnYoutube,LIVE ON YOUTUBE,यूट्यूब पर लाइव,مباشر على اليوتيوب,EN VIVO EN YOUTUBE
appLShowTime,Show Time,शो टाइम,موعد العرض,Tiempo de la funcion
appLNext,Next,अगला,التالي,Próximo
appLShow,Show,दिखाओ,يعرض,Espectáculo
appLVideoPlaylist,Video Playlist,वीडियो प्लेलिस्ट,قائمة تشغيل الفيديو,Lista de reproducción de vídeos
appLViewAll,View All,सभी को देखें,عرض الكل,Ver todo
appLLiveText,LIVE,रहना,يعيش,VIVIR
appLOfflineText,OFFLINE,ऑफलाइन,غير متصل على الانترنت,DESCONECTADO
appLNewsfeed,Newsfeed,समाचार फ़ीड,ملف الأخبار,Noticias
appLLiveStreaming,Live Streaming,सीधा आ रहा है,بث مباشر,Transmisión en vivo
appLShowSchedule,Show Schedule,शेड्यूल दिखाएँ,عرض الجدول الزمني,Mostrar horario
appLUpdateProfile,Update Profile,प्रोफ़ाइल अपडेट करें,تحديث الملف,Actualización del perfil
appLGallery,Gallery,गैलरी,صالة عرض,Galería
appLTeam,Team,टीम,فريق,Equipo
appLBlog,Blog,ब्लॉग,مدونة,Blog
appLLanguage,Language,भाषा,لغة,Idioma
appLChangePassword,Change Password,पासवर्ड बदलें,تغيير كلمة المرور,Cambiar la contraseña
appLHelpCenter,Help Center,सहायता केंद्र,مركز المساعدة,Centro de ayuda
appLPrivacyAndPolicy,Privacy & Policy,गोपनीयता नीति,سياسة الخصوصية,Política de privacidad
appLAboutUs,About Us,हमारे बारे में,معلومات عنا,Sobre nosotros
appLLogout,Logout,लॉग आउट,تسجيل خروج,Cerrar sesión
appLLogoutAlert,Logout ?,लॉग आउट ?,تسجيل خروج ؟,Cerrar sesión ?
appLAreYouSure,Are you sure about Logging out of the system? Then click Okay button,क्या आप सिस्टम से लॉग आउट करने के बारे में निश्चित हैं? फिर ओके बटन पर क्लिक करें,"هل أنت متأكد من تسجيل الخروج من النظام؟ ثم انقر فوق الزر ""موافق"".",¿Está seguro de cerrar sesión en el sistema? Luego haga clic en el botón Aceptar
appLConst cancel,Cancel,रद्द करना,يلغي,Cancelar
appLEnterCountry,Enter Country,देश दर्ज करें,أدخل البلد,Ingrese el país
appLEnterCity,Enter City,शहर दर्ज करें,أدخل المدينة,Ingrese la ciudad
appLEnterState,Enter State,राज्य दर्ज करें,إدخال الدولة,Ingresar estado
appLFromGallery,From Gallery,गैलरी से,من المعرض,De la galería
appLFromCamera,From Camera,कैमरे से,من الكاميرا,Desde la cámara
appLRegistrationTitle,Register for an Account Today,एक खाता के लिए आज ही पंजीकरण करें,سجل للحصول على حساب اليوم,Regístrese para obtener una cuenta hoy
appLRegistrationSubtitle,"Become a part of our community by registering for an account today. Enjoy a range of benefits and features tailored to meet your needs. Our registration page makes it easy to create your account, providing a seamless and user-friendly experience.","आज ही एक खाते के लिए पंजीकरण करके हमारे समुदाय का हिस्सा बनें। अपनी आवश्यकताओं को पूरा करने के लिए तैयार किए गए अनेक लाभों और सुविधाओं का आनंद लें। हमारा पंजीकरण पृष्ठ एक सहज और उपयोगकर्ता-अनुकूल अनुभव प्रदान करते हुए, आपका खाता बनाना आसान बनाता है।",كن جزءًا من مجتمعنا من خلال التسجيل للحصول على حساب اليوم. استمتع بمجموعة من المزايا والميزات المصممة خصيصًا لتلبية احتياجاتك. تسهل صفحة التسجيل الخاصة بنا إنشاء حسابك، مما يوفر تجربة سلسة وسهلة الاستخدام.,"Conviértase en parte de nuestra comunidad registrándose para obtener una cuenta hoy. Disfrute de una variedad de beneficios y características diseñadas para satisfacer sus necesidades. Nuestra página de registro facilita la creación de su cuenta, brindando una experiencia fluida y fácil de usar."
appLEnterName,Enter Name,नाम दर्ज करें,أدخل الاسم,Ingrese su nombre
appLIHaveAgreedWith,I have agreed with,मैं इससे सहमत हूं,لقد اتفقت مع,he estado de acuerdo con
appLTermsOfUse,Terms Of Use & Privacy Policy,उपयोग की शर्ते प्राइवेसि पॉलिसी,شروط الاستخدام وسياسة الخصوصية,Términos de uso y política de privacidad
appLAlreadyHaveAnAccount,Already have an account?,क्या आपके पास पहले से एक खाता मौजूद है?,هل لديك حساب؟,¿Ya tienes una cuenta?
appLPleaseAcceptTermsAndConditions,Please Accept Terms And Conditions,कृपया नियम एवं शर्तें स्वीकार करें,يرجى قبول الشروط والأحكام,Por favor acepte los términos y condiciones
appLLoginNow,Login Now,अभी लॉगिन करें,تسجيل الدخول الآن,Inicia sesión ahora
appLEnterNewPassword,Enter New Password,नया पासवर्ड दर्ज करें,أدخل كلمة المرور الجديدة,Ingrese nueva clave
appLEnterConfirmPassword,Enter Confirm Password,पासवर्ड की पुष्टि करें दर्ज करें,أدخل تأكيد كلمة المرور,Ingrese Confirmar Contraseña
appLResetPasswordSubtitle,Now you are able to reset your passwrod. Please reset your password and try again.,अब आप अपना पासवर्ड रीसेट करने में सक्षम हैं। कृपया अपना पासवर्ड रीसेट करें और पुनः प्रयास करें।,أنت الآن قادر على إعادة تعيين كلمة المرور الخاصة بك. يرجى إعادة تعيين كلمة المرور الخاصة بك والمحاولة مرة أخرى.,Ahora puedes restablecer tu contraseña. Restablezca su contraseña e inténtelo de nuevo.
appLCongratulations,Congratulations,बधाई हो,تهانينا,Felicidades
appLLoginInformation,Log in and Stay Connected,लॉग इन करें और जुड़े रहें,تسجيل الدخول والبقاء على اتصال,Inicie sesión y manténgase conectado
appLLoginSubtitle,"Our secure login process ensures the confidentiality of your information. Log in today and stay connected to your music station, anytime and anywhere.",हमारी सुरक्षित लॉगिन प्रक्रिया आपकी जानकारी की गोपनीयता सुनिश्चित करती है। आज ही लॉग इन करें और किसी भी समय और कहीं भी अपने संगीत स्टेशन से जुड़े रहें।,تضمن عملية تسجيل الدخول الآمنة لدينا سرية معلوماتك. قم بتسجيل الدخول اليوم وابق على اتصال بمحطة الموسيقى الخاصة بك، في أي وقت وفي أي مكان.,"Nuestro proceso de inicio de sesión seguro garantiza la confidencialidad de su información. Inicie sesión hoy y manténgase conectado a su estación de música, en cualquier momento y en cualquier lugar."
appLEnterEmailAddress,Enter Email Address,ईमेल पता दर्ज करें,أدخل عنوان البريد الالكتروني,Introducir la dirección de correo electrónico
appLEnterPassword,Enter Password,पास वर्ड दर्ज करें,أدخل كلمة المرور,Introducir la contraseña
appLForgotPassword,Forgot Password?,पासवर्ड भूल गए?,هل نسيت كلمة السر؟,¿Has olvidado tu contraseña?
appLDoNotHaveAnAccount,Dont have an account?,कोई खाता नहीं है?,ليس لديك حساب؟,¿No tienes una cuenta?
appLForgotPasswordSubtitle,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps to securely reset your password.,अपना पासवर्ड रीसेट करके अपने खाते पर नियंत्रण रखें। हमारा पासवर्ड पुनर्प्राप्ति पृष्ठ आपका पासवर्ड सुरक्षित रूप से रीसेट करने के लिए आवश्यक चरणों में आपका मार्गदर्शन करता है।,السيطرة على حسابك عن طريق إعادة تعيين كلمة المرور الخاصة بك. ترشدك صفحة استعادة كلمة المرور الخاصة بنا إلى الخطوات اللازمة لإعادة تعيين كلمة المرور الخاصة بك بشكل آمن.,Tome el control de su cuenta restableciendo su contraseña. Nuestra página de recuperación de contraseña lo guía a través de los pasos necesarios para restablecer su contraseña de forma segura.
appLContinueAsGuestUser,Continue as a Guest User,अतिथि उपयोगकर्ता के रूप में जारी रखें,الاستمرار كمستخدم ضيف,Continuar como usuario invitado
appLOTPVerificationSubtitle,We sent a 6-digit code to your email. Please check your mail inbox or spam.,हमने आपके ईमेल पर 6 अंकों का कोड भेजा है। कृपया अपना मेल इनबॉक्स या स्पैम जांचें।,لقد أرسلنا رمزًا مكونًا من 6 أرقام إلى بريدك الإلكتروني. يرجى التحقق من صندوق البريد الوارد أو البريد العشوائي.,Le enviamos un código de 6 dígitos a su correo electrónico. Por favor revisa tu bandeja de entrada de correo o spam.
appLPleaseFillOutTheField,Please Fill Out The Field,कृपया फ़ील्ड भरें,يرجى ملء الحقل,Por favor complete el campo
appLOkay,Okay,ठीक है,تمام,Bueno
appLBack,Back,पीछे,خلف,Atrás
appLLogin,Login,लॉग इन करें,تسجيل الدخول,Acceso
appLRegister,Register,पंजीकरण करवाना,يسجل,Registro
appLRegisterNow,Register Now,अभी पंजीकरण करें,سجل الان,Regístrate ahora
appLPassword,Password,पासवर्ड,كلمة المرور,Contraseña
appLEmailAddress,Email Address,मेल पता,عنوان البريد الإلكتروني,Dirección de correo electrónico
appLSubmit,Submit,जमा करना,يُقدِّم,Entregar
appLOTPVerification,OTP Verification,ओटीपी सत्यापन,التحقق من OTP,Verificación OTP
appLResend,Resend,पुन: भेजें,إعادة إرسال,Reenviar
appLNewPassword,New Password,नया पासवर्ड,كلمة المرور الجديدة,Nueva contraseña
appLConfirmPassword,Confirm Password,पासवर्ड की पुष्टि कीजिये,تأكيد كلمة المرور,confirmar Contraseña
appLEnter,Enter,प्रवेश करना,يدخل,Ingresar
appLResetPassword,Reset Password,पासवर्ड रीसेट,إعادة تعيين كلمة المرور,Restablecer la contraseña
appLFirstName,First Name,पहला नाम,الاسم الأول,Nombre de pila
appLLastName,Last Name,उपनाम,اسم العائلة,Apellido
appLCountry,Country,देश,دولة,País
appLState,State,राज्य,ولاية,Estado
appLCity,City,शहर,مدينة,Ciudad
appLZipCode,Zip Code,ज़िप कोड,الرمز البريدي,Código postal
appLOldPassword,Old Password,पुराना पासवर्ड,كلمة المرور القديمة,Contraseña anterior
appLNoDataFound,No Notification Found,कोई सूचना नहीं मिली,لم يتم العثور على أي إشعار,No se encontró ninguna notificación
appLCancel,Cancel,रद्द करना,يلغي,Cancelar
appLAlert,Alert,चेतावनी,يُحذًِر,Alerta
appLDismiss,Dismiss,नकार देना,رفض,Despedir
appLSuccess,Success,सफलता,نجاح,Éxito
Enable,Enable,सक्षम,يُمكَِن,Permitir
Disable,Disable,अक्षम करना,إبطال,Desactivar
Activated,Activated,सक्रिय,مفعل,Activado
Deactivated,Deactivated,निष्क्रिय,معطل,Desactivado
Newsletter,Newsletter,समाचार पत्रिका,النشرة الإخبارية,Boletin informativo
Download The AdRadio App Today,Download The AdRadio App Today,आज ही AdRadio ऐप डाउनलोड करें,قم بتنزيل تطبيق AdRadio اليوم,Descargue la aplicación AdRadio hoy
Are you sure to,Are you sure to,क्या आप निश्चित हैं,هل أنت متأكد من ذلك,¿Estás seguro de
Remove,Remove,निकालना,يزيل,Eliminar
Are you sure to delete ?,Are you sure to delete ?,क्या वाकई हटाना है ?,هل انت متأكد من الحذف ؟,¿Estás seguro de eliminar?
Your account deleted successfully!,Your account deleted successfully!,आपका खाता सफलतापूर्वक हटा दिया गया!,تم حذف حسابك بنجاح!,¡Tu cuenta se eliminó exitosamente!
Delete,Delete,मिटाना,يمسح,Borrar
Are you sure to delete your account?,Are you sure to delete your account?,क्या आप निश्चित रूप से अपना खाता हटाना चाहते हैं?,هل أنت متأكد من حذف حسابك؟,¿Estás seguro de eliminar tu cuenta?
If you do not think you will use,If you do not think you will use,अगर आपको नहीं लगता तो आप इस्तेमाल करेंगे,إذا كنت لا تعتقد أنك سوف تستخدم,Si no crees que lo usarás
"again and like your account deleted. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted, click “Delete Account”.?","again and like your account deleted. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted, click “Delete Account”.?","फिर से और जैसे आपका खाता हटा दिया गया है। ध्यान रखें कि आप अपने खाते को पुनः सक्रिय नहीं कर पाएंगे या आपके द्वारा जोड़ी गई किसी भी सामग्री या जानकारी को पुनः प्राप्त नहीं कर पाएंगे। यदि आप अभी भी अपना खाता हटाना चाहते हैं, तो ""खाता हटाएं"" पर क्लिक करें।","مرة أخرى ومثل حذف حسابك. ضع في اعتبارك أنك لن تتمكن من إعادة تنشيط حسابك أو استرداد أي من المحتوى أو المعلومات التي أضفتها. إذا كنت لا تزال ترغب في حذف حسابك، فانقر فوق ""حذف الحساب"".","nuevamente y dale me gusta a tu cuenta eliminada. Tenga en cuenta que no podrá reactivar su cuenta ni recuperar el contenido o la información que haya agregado. Si aún desea eliminar su cuenta, haga clic en ""Eliminar cuenta""."
appLDeleteAlert,Do you want to delete your account?,क्या आप अपना खाता हटाना चाहते हैं?,هل تريد حذف حسابك؟,¿Quieres eliminar tu cuenta?
appLDeleteProfile ,Delete Profile,प्रोफ़ाइल हटाएं,حذف الملف الشخصي,Borrar perfil